Title,Origin/Ethnicity,Director,Cast,Genre,Keywords,Year Binned
Battlefield Earth,American,Roger Christian,"John Travolta, Forest Whitaker, Barry Pepper",science fiction,"['planet', 'denver', 'earth', 'areas', 'base', 'humans', 'knox', 'gold', 'carlo', 'shuttle', 'radiation', 'mining', 'fort', 'slave', 'abandoned']",2000s
The Beach,American,Danny Boyle,"Leonardo DiCaprio, Virginie Ledoyen, Tilda Swinton",adventure,"['richard', 'sal', 'island', 'community', 'farmers', 'map', 'bugs', 'americans', 'ko', 'cannabis', 'shark', 'beach', 'happier', 'lies', 'allow']",2000s
Beat,American,Gary Walkow,"Courtney Love, Kiefer Sutherland",drama,"['joan', 'william', 'lee', 'city', 'mexico', 'advances', 'murder', 'vacation', 'sexual', 'cuts', 'david', 'film', 'york', 'trip', 'apartment']",2000s
Beautiful,American,Sally Field,"Minnie Driver, Hallie Kate Eisenberg, Kathleen Turner",comedy,"['mona', 'ruby', 'vanessa', 'pageant', 'joyce', 'miss', 'mom', 'crown', 'jailed', 'care', 'goal', 'daughter', 'america', 'role', 'support']",2000s
Beautiful Joe,American,Stephen Metcalfe,"Sharon Stone, Billy Connolly","comedy, drama","['joe', 'gangsters', 'fortune', 'connolly', 'sharon', 'grim', 'faster', 'kingpin', 'syndicate', 'horses', 'good', 'flower', 'diagnosed', 've', 'bit']",2000s
Bedazzled,American,Harold Ramis,"Brendan Fraser, Elizabeth Hurley",comedy,"['elliot', 'devil', 'alison', 'wishes', 'wish', 'workers', 'contract', 'mac', 'sensitive', 'computer', 'hell', 'raoul', 'soul', 'frances', 'connor']",2000s
Before Night Falls,American,Julian Schnabel,"Javier Bardem, Johnny Depp",biography,"['cuba', 'sexuality', 'friendships', '1980', 'diego', 'assaulting', 'allegedly', 'mention', 'publish', 'decade', 'publishing', 'ambitions', 'aids', 'consent', 'diagnosed']",2000s
Best in Show,American,Christopher Guest,"Parker Posey, Michael McKean, Catherine O'Hara, Eugene Levy, Michael Hitchcock, Jennifer Coolidge",mockumentary,"['dogs', 'gerry', 'owners', 'dog', 'hamilton', 'partnership', 'ann', 'documentary', 'round', 'prepares', 'stefan', 'christy', 'willard', 'bitch', 'swan']",2000s
Big Momma's House,American,Raja Gosnell,"Martin Lawrence, Paul Giamatti",comedy,"['malcolm', 'sherry', 'momma', 'trent', 'lester', 'big', 'john', 'nolan', 'house', 'fbi', 'undercover', 'pierce', 'testimony', 'vault', 'real']",2000s
The Big Tease,American,Kevin Allen,"Craig Ferguson, Frances Fisher, Mary McCormack",comedy,"['crawford', 'documentary', 'contest', 'federation', 'interviewer', 'competitor', 'scottish', 'filmed', 'creation', 'produces', 'greatest', 'annual', 'invitation', 'chris', 'invited']",2000s
Bless the Child,American,Chuck Russell,"Kim Basinger, Jimmy Smits, Christina Ricci",thriller,"['cody', 'maggie', 'cult', 'jenna', 'user', 'children', 'evil', 'date', 'drug', 'nuns', 'rainy', 'travis', 'connor', 'waited', 'christina']",2000s
Boiler Room,American,Ben Younger,"Giovanni Ribisi, Nia Long, Vin Diesel, Ben Affleck",drama,"['seth', 'firm', 'stock', 'marlin', 'harry', 'fbi', 'shares', 'marty', 'greg', 'federal', 'casino', 'sell', 'scheme', 'agents', 'investors']",2000s
Book of Shadows: Blair Witch 2,American,Joe Berlinger,"Kim Director, Jeffrey Donovan, Erica Leerhsen",horror,"['jeff', 'erica', 'kim', 'stephen', 'group', 'footage', 'witch', 'tour', 'tree', 'blair', 'foundation', 'coffin', 'tapes', 'cameras', 'rock']",2000s
Bounce,American,Don Roos,"Ben Affleck, Gwyneth Paltrow",drama,"['buddy', 'greg', 'abby', 'airline', 'janice', 'flight', 'scott', 'mimi', 'crash', 'boys', 'aircraft', 'passenger', 'ticket', 'home', 'guilt']",2000s
Boys and Girls,American,Robert Iscove,"Claire Forlani, Freddie Prinze, Jr., Jason Biggs",comedy,"['ryan', 'jennifer', 'amy', 'console', 'megan', 'airplane', 'italy', 'steve', 'sleeping', 'immediately', 'shuttle', 'break', 'betty', 'greet', 'withdraws']",2000s
Bring It On,American,Peyton Reed,"Kirsten Dunst, Eliza Dushku, Gabrielle Union, Jesse Bradford",comedy,"['routine', 'team', 'cliff', 'aaron', 'missy', 'compete', 'carver', 'squad', 'perform', 'captain', 'attended', 'school', 'senior', 'angrily', 'national']",2000s
The Broken Hearts Club: A Romantic Comedy,American,Greg Berlanti,"Ben Weber, Timothy Olyphant, Zach Braff",comedy,"['group', 'howie', 'restaurant', 'cain', 'member', 'benji', 'creek', 'dawson', 'timothy', 'porter', 'zach', 'betty', 'friendships', 'psychology', 'charismatic']",2000s
Brother,American,Takeshi Kitano,"Takeshi Kitano, Omar Epps",crime drama,"['clan', 'denny', 'kato', 'gang', 'ken', 'mafia', 'criminal', 'drug', 'maki', 'epps', 'claude', 'winners', 'takeshi', 'omar', 'yakuza']",2000s
 Cast Away,American,Robert Zemeckis,"Tom Hanks, Helen Hunt",adventure,"['chuck', 'raft', 'wilson', 'package', 'island', 'wings', 'plane', 'angel', 'kelly', 'truck', 'sail', 'time', 'texas', 'conditions', 'ocean']",2000s
Cecil B. Demented,American,John Waters,"Melanie Griffith, Stephen Dorff, Alicia Witt, Adrian Grenier, Maggie Gyllenhaal",comedy,"['cecil', 'honey', 'crew', 'theater', 'baltimore', 'film', 'hollywood', 'group', 'premiere', 'commission', 'resists', 'followers', 'gunfight', 'joining', 'police']",2000s
The Cell,American,Tarsem Singh,"Jennifer Lopez, Vince Vaughn, Vincent D'Onofrio",science fiction,"['novak', 'mind', 'king', 'feed', 'young', 'technology', 'west', 'glass', 'kent', 'paradise', 'comatose', 'experimental', 'location', 'reverse', 'bird']",2000s
Center Stage,American,Nicholas Hytner,"Amanda Schull, Peter Gallagher, Ethan Stiefel",musical,"['ballet', 'jody', 'jonathan', 'cooper', 'workshop', 'charlie', 'maureen', 'erik', 'company', 'dancer', 'dance', 'american', 'corps', 'tensions', 'dancers']",2000s
Charlie's Angels,American,McG,"Drew Barrymore, Cameron Diaz, Lucy Liu, Bill Murray, Sam Rockwell, Tim Curry, Crispin Glover",action,"['knox', 'angels', 'charlie', 'dylan', 'natalie', 'vivian', 'lighthouse', 'alex', 'recognition', 'software', 'computer', 'transmitter', 'speaker', 'offices', 'remotely']",2000s
Cherry Falls,American,Geoffrey Wright,"Brittany Murphy, Michael Biehn, Jesse Bradford",thriller,"['jody', 'brent', 'kenny', 'school', 'lee', 'sherman', 'town', 'killer', 'high', 'virgin', 'students', 'principal', 'timmy', 'carved', 'house']",2000s
Chinese Coffee,American,Al Pacino,"Al Pacino, Jerry Orbach",drama,"['jake', 'directions', 'money', 'harry', 'photographer', 'engage', 'arts', 'respective', 'heading', 'debt', 'collect', 'barely', 'pays', 'writer', 'art']",2000s
Chocolat,American,Lasse Hallström,"Juliette Binoche, Judi Dench, Alfred Molina, Lena Olin, Johnny Depp",romance,"['josephine', 'chocolate', 'caroline', 'village', 'wind', 'festival', 'north', 'boat', 'grandmother', 'changed', 'sunday', 'town', 'café', 'party', 'townspeople']",2000s
Chuck & Buck,American,Miguel Arteta,"Chris Weitz, Mike White, Maya Rudolph",comedy,"['buck', 'charlie', 'chuck', 'beverly', 'play', 'invitation', 'afterward', 'angeles', 'los', 'sexual', 'presence', 'conversation', 'brien', 'wedding', 'nerve']",2000s
The Contender,American,Rod Lurie,"Joan Allen, Jeff Bridges, Gary Oldman, Christian Slater, Sam Elliott, Kathryn Morris, Mike Binder",drama,"['hathaway', 'evans', 'president', 'vice', 'congress', 'administration', 'addresses', 'approval', 'address', 'lake', 'sexual', 'questions', 'asked', 'incident', 'sorority']",2000s
Coyote Ugly,American,David McNally,"Piper Perabo, Adam Garcia, Tyra Banks, John Goodman",comedy,"['violet', 'kevin', 'bar', 'lil', 'audition', 'gloria', 'ugly', 'singing', 'jersey', 'stage', 'new', 'night', 'dreams', 'york', 'noticed']",2000s
The Crew,American,Michael Dinner,"Richard Dreyfuss, Burt Reynolds, Dan Hedaya",comedy,"['drug', 'mouth', 'moss', 'carrie', 'stepmother', 'staged', 'anne', 'men', 'man', 'retirement', 'apartment', 'silent', 'rent', 'complex', 'murder']",2000s
The Crossing,American,Robert Harmon,"Jeff Daniels, Roger Rees, Sebastian Roché, Steven McCarthy",historical drama,"['washington', 'army', 'river', 'troops', 'garrison', 'cross', '26', 'gates', 'december', 'jersey', 'silence', 'winter', 'retreat', 'staff', 'history']",2000s
 Digimon: The Movie,American,"Mamoru Hosoda, Minoru Hosoda","Lara Jill Miller, Joshua Seth, Bob Glouberman","animation, adventure","['willis', 'tai', 'izzy', 'davis', 'egg', 'colorado', 'digital', 'angela', 'cody', 'defeats', 'world', 'champion', 'virus', 'matt', 'mrs']",2000s
Dinosaur,American,"Eric Leighton, Ralph Zondag","D. B. Sweeney, Alfre Woodard, Ossie Davis",animation,"['herd', 'neera', 'meteor', 'valley', 'grounds', 'cave', 'scout', 'ritual', 'abandon', 'surviving', 'island', 'new', 'reach', 'water', 'predator']",2000s
Down to You,American,Kris Isacsson,"Freddie Prinze, Jr., Julia Stiles",comedy,"['al', 'suicide', 'cheats', 'measures', 'featuring', 'obtained', 'love', 'cake', 'push', 'differences', 'engage', 'attempted', 'view', 'records', 'eat']",2000s
Dr. T & the Women,American,Robert Altman,"Richard Gere, Helen Hunt, Farrah Fawcett, Laura Dern, Shelley Long, Tara Reid, Kate Hudson",romantic comedy,"['dr', 'dee', 'kate', 'fawcett', 'bree', 'carolyn', 'shelley', 'peggy', 'marilyn', 'connie', 'dallas', 'sullivan', 'hudson', 'travis', 'agenda']",2000s
Dracula 2000,American,Patrick Lussier,"Gerard Butler, Christopher Plummer, Jonny Lee Miller",horror,"['dracula', 'helsing', 'mary', 'simon', 'van', 'coffin', 'orleans', 'thieves', 'plane', 'lucy', 'silver', 'abbey', 'crash', 'shop', 'vault']",2000s
Drowning Mona,American,Nick Gomez,"Bette Midler, Jamie Lee Curtis, Danny DeVito, Neve Campbell",comedy,"['bobby', 'wyatt', 'mona', 'phil', 'ellie', 'clarence', 'car', 'keys', 'threatened', 'valerie', 'tells', 'accident', 'charm', 'drives', 'affair']",2000s
"Dude, Where's My Car?",American,Danny Leiner,"Ashton Kutcher, Seann William Scott",comedy,"['chester', 'jesse', 'christie', 'universe', 'tommy', 'twins', 'correctly', 'car', 'girlfriends', 'nelson', 'aliens', 'wanda', 'duo', 'pierre', 'men']",2000s
Duets,American,Bruce Paltrow,"Maria Bello, Andre Braugher, Paul Giamatti, Huey Lewis, Gwyneth Paltrow, Angie Dickinson","drama, musical","['contest', 'todd', 'billy', 'reggie', 'pairs', 'ricky', 'compete', 'service', 'stage', 'shooting', 'invites', 'station', 'reconciliation', 'candy', 'smaller']",2000s
Dungeons & Dragons,American,Courtney Solomon,"Jeremy Irons, Thora Birch, Tom Baker, Marlon Wayans",fantasy,"['ridley', 'marina', 'dragons', 'empress', 'dragon', 'map', 'magic', 'eye', 'gold', 'protagonists', 'thieves', 'uses', 'castle', 'elf', 'rod']",2000s
 The Emperor's New Groove,American,Mark Dindal,"David Spade, John Goodman, Eartha Kitt, Patrick Warburton",animation,"['kingdom', 'orders', 'wall', 'normal', 'cart', 'transformation', 'throne', 'jungle', 'capital', 'diner', 'knocking', 'return', 'transforms', 'arrive', 'overhears']",2000s
Erin Brockovich,American,Steven Soderbergh,"Julia Roberts, Albert Finney, Aaron Eckhart",biography,"['erin', 'ed', 'donna', 'case', 'settlement', 'cases', 'documents', 'office', 'residents', 'research', 'million', 'cousin', 'recently', 'medical', 'evidence']",2000s
An Everlasting Piece,American,Barry Levinson,"Barry McEvoy, Brían F. O'Byrne, Anna Friel, Billy Connolly",comedy,"['ira', 'george', 'ireland', 'northern', 'list', 'piece', 'barber', 'competition', 'exclusive', 'poetry', 'catholic', 'sales', 'win', 'customers', 'partners']",2000s
 The Family Man,American,Brett Ratner,"Nicolas Cage, Téa Leoni, Don Cheadle",drama,"['jack', 'cash', 'kate', 'christmas', 'life', 'glimpse', 'tire', 'store', 'universe', 'alternate', 'clerk', 'new', 'ticket', 'learn', 'coffee']",2000s
Finding Forrester,American,Gus Van Sant,"Sean Connery, Rob Brown, Anna Paquin",drama,"['jamal', 'forrester', 'crawford', 'contest', 'read', 'writing', 'school', 'published', 'permission', 'apartment', 'charges', 'write', 'backpack', 'partly', 'board']",2000s
The Flintstones in Viva Rock Vegas,American,Brian Levant,"Mark Addy, Stephen Baldwin, Kristen Johnston, Jane Krakowski, Alan Cumming, Joan Collins, Harvey Korman",comedy,"['fred', 'chip', 'barney', 'betty', 'pearl', 'vegas', 'sings', 'gangsters', 'dino', 'rock', 'carnival', 'proclaims', 'dates', 'colonel', 'disguised']",2000s
Frequency,American,Gregory Hoblit,"Dennis Quaid, James Caviezel",science fiction,"['frank', 'john', 'shepard', '1969', '1999', 'julia', 'timeline', 'wallet', 'radio', 'samantha', '1989', 'fingerprints', 'error', 'detective', 'fixes']",2000s
 Get Carter,American,Stephen T. Kay,"Sylvester Stallone, Rhona Mitra, Michael Caine, Rachael Leigh Cook, Miranda Richardson, Mickey Rourke",action,"['jack', 'ritchie', 'eddie', 'carter', 'vegas', 'fletcher', 'audrey', 'brother', 'disc', 'punch', 'video', 'happened', 'las', 'mob', 'confronts']",2000s
The Gift,American,Sam Raimi,"Cate Blanchett, Giovanni Ribisi, Keanu Reeves, Katie Holmes, Greg Kinnear, Hilary Swank",thriller,"['annie', 'buddy', 'donnie', 'wayne', 'jessica', 'pond', 'duncan', 'valerie', 'vision', 'johnson', 'mental', 'corpse', 'hospital', 'david', 'car']",2000s
The Girl,American,Sande Zeig,"Claire Keim, Agathe De La Boulaye",romance,"['artist', 'girl', 'man', 'hotel', 'nightclub', 'cyril', 'gun', 'paints', 'gunshots', 'aggressively', 'sandra', 'behaves', 'narrated', 'usually', 'gunshot']",2000s
Girlfight,American,Karyn Kusama,"Michelle Rodriguez, Paul Calderón",drama,"['diana', 'adrian', 'tiny', 'hector', 'fight', 'boxing', 'gym', 'coaching', 'match', 'amateur', 'opponent', 'ray', 'professional', 'training', 'wins']",2000s
Gladiator,American,Ridley Scott,"Russell Crowe, Joaquin Phoenix, Connie Nielsen, Richard Harris, Djimon Hounsou, Oliver Reed","action, drama, epic,","['rome', 'roman', 'crowd', 'victory', 'guard', 'senator', 'buries', 'win', 'emperor', 'allies', 'disguised', 'gain', 'general', 'family', 'son']",2000s
The Golden Bowl,American,James Ivory,"Kate Beckinsale, James Fox, Anjelica Huston, Nick Nolte",drama,"['maggie', 'charlotte', 'adam', 'bowl', 'fanny', 'crack', 'country', 'affair', 'museum', 'aside', 'wedding', 'prince', 'couple', 'england', 'time']",2000s
Gone in 60 Seconds,American,Dominic Sena,"Nicolas Cage, Giovanni Ribisi, Angelina Jolie, Robert Duvall",action,"['memphis', 'kip', 'cars', 'shelby', 'detectives', 'steal', 'car', 'warehouse', 'gang', 'electric', 'keys', 'abandon', 'discover', 'thief', 'police']",2000s
Gossip,American,Davis Guggenheim,"James Marsden, Lena Headey, Norman Reedus, Kate Hudson, Marisa Coughlan, Joshua Jackson",drama,"['derrick', 'naomi', 'beau', 'rumor', 'travis', 'jones', 'campus', 'cathy', 'professor', 'sex', 'raped', 'students', 'preston', 'pronounced', 'investigators']",2000s
Gun Shy,American,Eric Blakeney,"Liam Neeson, Oliver Platt, Andrew Lauer",action,"['charlie', 'anxiety', 'therapy', 'york', 'italian', 'group', 'job', 'michael', 'problems', 'dr', 'dexter', 'deal', 'meets', 'dea', 'liam']",2000s
Hanging Up,American,Diane Keaton,"Meg Ryan, Diane Keaton, Lisa Kudrow, Walter Matthau",comedy,"['eve', 'lou', 'maddy', 'georgia', 'sisters', 'father', 'soap', 'pat', 'planner', 'sanity', 'associated', 'publicity', 'opera', 'despite', 'titled']",2000s
Held Up,American,Steve Rash,"Jamie Foxx, Nia Long",comedy,"['michael', 'convenience', 'airport', 'store', 'gunman', 'botched', 'trying', 'hostages', 'gunfight', 'dumps', 'stranded', 'promptly', 'keys', 'aside', 'soon']",2000s
Here on Earth,American,Mark Piznarski,"Chris Klein, Leelee Sobieski, Josh Hartnett",drama,"['samantha', 'jasper', 'heaven', 'loved', 'damage', 'sam', 'field', 'parents', 'kelvin', 'soon', 'months', 'college', 'recites', 'arnold', 'obey']",2000s
High Fidelity,American,Stephen Frears,"John Cusack, Jack Black, Lisa Bonet, Joan Cusack, Iben Hjejle, Lili Taylor",comedy,"['laura', 'rob', 'barry', 'musical', 'music', 'customers', 'records', 'rock', 'record', 'band', 'holds', 'dee', 'drift', 'tires', 'label']",2000s
Highlander: Endgame,American,Douglas Aarniokoski,"Adrian Paul, Christopher Lambert",science fiction,"['duncan', 'connor', 'sanctuary', 'kate', 'immortal', 'disciples', 'carlos', 'spared', 'centuries', 'executes', 'scotland', 'jacob', 'later', 'rachel', 'power']",2000s
Hollow Man,American,Paul Verhoeven,"Elisabeth Shue, Kevin Bacon, Josh Brolin","science fiction, horror","['sebastian', 'linda', 'matt', 'lab', 'kramer', 'elevator', 'dr', 'invisible', 'carter', 'codes', 'team', 'shaft', 'serum', 'committee', 'leaves']",2000s
The House of Mirth,American,Terence Davies,"Gillian Anderson, Laura Linney, Dan Aykroyd",drama,"['lily', 'lawrence', 'letters', 'george', 'simon', 'gus', 'mrs', 'hatch', 'social', 'grace', 'carry', 'fisher', 'fireplace', 'judy', 'cousin']",2000s
How the Grinch Stole Christmas,American,Ron Howard,"Jim Carrey, Christine Baranski, Jeffrey Tambor, Molly Shannon, Taylor Momsen","family, fantasy","['lou', 'cindy', 'christmas', 'gifts', 'martha', 'sleigh', 'mount', 'mayor', 'max', 'spirit', 'face', 'ashamed', 'holiday', 'classmates', 'mountain']",2000s
How to Kill Your Neighbor's Dog,American,Michael Kalesniko,"Kenneth Branagh, Robin Wright Penn",comedy,"['peter', 'kenneth', 'jared', 'melanie', 'mild', 'failures', 'sorts', 'wright', 'clark', 'decade', 'string', 'bonding', 'robin', 'harris', 'brian']",2000s
Icebreaker,American,David Giancola,"Sean Astin, Stacy Keach, Bruce Campbell",action,"['ski', 'nuclear', 'resort', 'terrorists', 'mountain', 'weapon', 'stolen', 'stop', 'attempts', '19', '18th', '18', '17', '16', '150']",2000s
The In Crowd,American,Mary Lambert,"Susan Ward, Lori Heuring, Matthew Settle",thriller,"['brittany', 'sister', 'institution', 'mental', 'kelly', 'club', 'older', 'henry', 'country', 'heads', 'killed', 'friends', 'bee', 'deceived', 'curtis']",2000s
 Joe Gould's Secret,American,Stanley Tucci,"Ian Holm, Stanley Tucci, Hope Davis",drama,"['mitchell', 'demanding', 'joe', 'vivian', 'liar', 'harvard', 'calmly', 'average', 'founder', 'oral', 'village', 'allegedly', 'fascinated', 'gallery', 'painter']",2000s
 Keeping the Faith,American,Edward Norton,"Ben Stiller, Jenna Elfman, Edward Norton",comedy,"['jake', 'anna', 'brian', 'rabbi', 'congregation', 'ruth', 'feelings', 'relationship', 'interrupts', 'fr', 'priest', 'center', 'reconciling', 'bartender', 'tearful']",2000s
The Kid,American,Jon Turteltaub,"Bruce Willis, Lily Tomlin, Jean Smart, Spencer Breslin",family,"['russ', 'rusty', 'amy', 'boy', 'father', 'birthday', 'stadium', 'toy', 'diner', 'tunnel', 'home', 'returns', 'assures', 'finds', 'version']",2000s
 The Ladies Man,American,Reginald Hudlin,"Tim Meadows, Billy Dee Williams, Will Ferrell",comedy,"['helen', 'women', 'fay', 'pat', 'stanley', 'jerry', 'lewis', 'swears', 'boarding', 'treat', 'servant', 'romance', 'fear', 'loses', 'helps']",2000s
The Last Producer,American,Burt Reynolds,"Burt Reynolds, Rod Steiger, Benjamin Bratt",drama,"['sonny', 'script', 'black', 'damon', 'oscar', 'investors', 'remembered', 'reynolds', 'pill', 'borrow', 'movie', 'washed', 'produced', 'desperation', 'aging']",2000s
The Legend of Bagger Vance,American,Robert Redford,"Matt Damon, Will Smith, Charlize Theron, Jack Lemmon",drama,"['adele', 'round', 'golf', 'hole', 'jones', 'hardy', 'penalty', 'match', 'georgia', 'poorly', 'game', 'play', 'tie', 'war', 'depression']",2000s
Little Nicky,American,Steven Brill,"Adam Sandler, Patricia Arquette, Harvey Keitel",comedy,"['nicky', 'adrian', 'hell', 'valerie', 'satan', 'earth', 'orb', 'possessing', 'todd', 'body', 'father', 'york', 'throne', 'midnight', 'succeed']",2000s
The Little Vampire,American,Uli Edel,"Jonathan Lipnicki, Richard E. Grant, Rollo Weeks",comedy,"['tony', 'vampires', 'lord', 'vampire', 'family', 'flint', 'anna', 'nigel', 'parents', 'human', 'elizabeth', 'village', 'ceremony', 'known', 'helps']",2000s
Loser,American,Amy Heckerling,"Jason Biggs, Mena Suvari, Greg Kinnear",comedy,"['dora', 'paul', 'noah', 'chris', 'adam', 'scholarship', 'relationship', 'dorm', 'ploy', 'hospital', 'affair', 'parties', 'afford', 'intelligent', 'concert']",2000s
Lost Souls,American,Janusz Kamiński,"Winona Ryder, Ben Chaplin",horror,"['satan', 'maya', 'peter', 'group', 'ryder', 'showdown', 'roman', 'jesus', 'psychiatric', 'youngest', 'ultimate', 'discovery', 'patient', 'chosen', 'possessed']",2000s
Love & Basketball,American,Gina Prince-Bythewood,"Omar Epps, Sanaa Lathan, Dennis Haysbert",drama,"['monica', 'quincy', 'basketball', 'camille', 'game', 'emotions', 'struggles', 'season', 'court', 'angeles', 'finally', 'los', 'point', 'championship', 'team']",2000s
Lucky Numbers,American,Nora Ephron,"John Travolta, Lisa Kudrow, Tim Roth, Michael Moore",crime,"['russ', 'dick', 'ticket', 'dale', 'crystal', 'walter', 'denny', 'pennsylvania', 'gig', 'lottery', 'numbers', '100', 'lucky', 'debt', 'winning']",2000s
"Me, Myself & Irene",American,Peter and Bobby Farrelly,"Jim Carrey, Renée Zellweger, Robert Forster, Chris Cooper",comedy,"['charlie', 'irene', 'dickie', 'hank', 'personality', 'island', 'sons', 'police', 'whitey', 'agents', 'thumb', 'medication', 'hit', 'motel', 'fbi']",2000s
Meet the Parents,American,Jay Roach,"Ben Stiller, Robert De Niro, Blythe Danner, Teri Polo, Owen Wilson",comedy,"['greg', 'pam', 'jack', 'debbie', 'luggage', 'airport', 'family', 'dina', 'cat', 'airline', 'wedding', 'bag', 'champagne', 'test', 'tail']",2000s
Memento,American,Christopher Nolan,"Guy Pearce, Carrie-Anne Moss, Joe Pantoliano",thriller,"['leonard', 'teddy', 'sammy', 'jimmy', 'attacker', 'john', 'license', 'photograph', 'sequences', 'plate', 'natalie', 'color', 'white', 'sequence', 'black']",2000s
Men of Honor,American,"George Tillman, Jr.","Robert De Niro, Cuba Gooding, Jr., Charlize Theron",biography,"['sunday', 'navy', 'officer', 'master', 'chief', 'salvage', 'commanding', 'active', 'petty', 'duty', 'student', 'demoted', 'diving', 'underwater', 'school']",2000s
Mercy Streets,American,John Gunn,"Eric Roberts, Cynthia Watros, Stacy Keach",action,"['jeremiah', 'rome', 'john', 'brother', 'twin', 'david', 'brothers', 'white', 'face', 'redeem', 'pastor', 'forced', 'blackmailed', 'turmoil', 'roberts']",2000s
The Million Dollar Hotel,American,Wim Wenders,"Jeremy Davies, Milla Jovovich, Mel Gibson, Jimmy Smits",drama,"['tom', 'davies', 'gibson', 'unfold', 'billionaire', 'tim', 'romantically', 'resident', 'fbi', 'california', 'death', 'angeles', 'los', 'important', 'media']",2000s
Miss Congeniality,American,Donald Petrie,"Sandra Bullock, Benjamin Bratt, Michael Caine, William Shatner, Candice Bergen",comedy,"['gracie', 'kathy', 'cheryl', 'pageant', 'eric', 'miss', 'citizen', 'competition', 'frank', 'threat', 'jersey', 'victor', 'winner', 'beauty', 'charge']",2000s
Mission to Mars,American,Brian De Palma,"Gary Sinise, Tim Robbins, Don Cheadle, Connie Nielsen, Jerry O'Connell, Kim Delaney",science fiction,"['mars', 'luke', 'terri', 'formation', 'woody', 'phil', 'jim', 'structure', 'ship', 'fuel', 'planet', 'rover', 'vortex', 'spacecraft', 'earth']",2000s
